"ID","LastName","Title","FirstName","Organisation","Position","Suburb","State","Postcode","WorkPhone","EmailAddress","Industry"
13,"Keobaunleuang","Mr","Shannon","Polo Ralph Lauren","MIS Manager","Blacktown","NSW",2148,"(07) 3674 7197","satkins@poloralphlauren.com.au","Household & Personal Products "
14,"Wetsel","Mr","Zachary","Nucor","IT Project Manager","St Leonards","NSW",2065,"(06) 5907 6276","zwong@nucor.com.au","Materials "
15,"Cabral","Mr","Roman","Cablevision",,"Aldgate","SA",5154,"(02) 7036 3953","rde waal@cablevision.com.au","Media "
16,"Seider","Mr","Lyle","WR Berkley",,"Canberra","ACT",2601,"(06) 8889 7240","lackland@wrberkley.com.au","Insurance "
17,"Dekorte","Mr","Sanford","Marshall & Ilsley","MIS Analyst","Brisbane","QLD",4000,"(01) 7724 6051","smongard@marshallilsley.com.au","Banking "
18,"Swadling","Mr","Justin","Brambles",,"North Sydney","NSW",2060,"(06) 8647 5717","jjanssen@brambles.com.au","Business Services & Supplies "
19,"Destefanis","Mr","Roberto","Edwards Lifesciences","Technical Services Manager","Brookvale","NSW",2100,"(03) 2297 1625","rtremble@edwardslifesciences.com.au","Health Care Equipment & Services"
20,"Zittel","Mr","Yong","Marshall & Ilsley","Business Analyst","Brisbane","QLD",4000,"(03) 1313 5571","yrobinson@marshallilsley.com.au","Banking "
21,"Vondra","Mr","Ross","G4S","Analyst Programmer","Rockhampton","QLD",4702,"(03) 3669 1476","rporter@g4s.com.au","Business Services & Supplies "
22,"Borner","Mr","Rolando","Nelnet","Financial Controller","Brisbane","QLD",4001,"(04) 9950 5539","rcobb@nelnet.com.au","Diversified Financials "
23,"Keovongxay","Mr","Kendrick","J Sainsbury","Data Warehouse Technical Coordinator","Granville","NSW",2142,"(08) 7861 8102","kmclean@jsainsbury.com.au","Food Markets "
24,"Kotts","Mr","Duane","Altera","Business Intelligence Analyst","Mascot","NSW",1460,"(05) 4742 4010","dmousine@altera.com.au","Semiconductors "
25,"Snedeger","Mr","Jake","Foster's Group","Senior Manager Risk Solutions","Sydney","NSW",2000,"(02) 6454 9935","jsan@foster'sgroup.com.au","Food, Drink & Tobacco "
26,"Pompi","Mr","Florentino","Pub Svc Enterprise","IS Applications Manager","South Yarra","VIC",3141,"(04) 3540 8825","faldred@pubsvcenterprise.com.au","Utilities "
27,"Imler","Mr","Tristan","Altera","Business Systems","Mascot","NSW",1460,"(02) 4543 6550","tsamuels@altera.com.au","Semiconductors "
28,"Pehrson","Mr","Alvaro","United Utilities","Financial Controller","Smithfield","NSW",2164,"(06) 1402 5198","ahough@unitedutilities.com.au","Utilities "
29,"Langin","Mr","William","Procter & Gamble","Reporting Analyst","Gosford","NSW",2251,"(02) 3698 6385","wsinnett@proctergamble.com.au","Household & Personal Products "
30,"Daking","Mr","Ivan","Vornado Realty","Manager, Budgeting and Reporting Systems","Melbourne","VIC",3000,"(03) 7001 6588","ifalzon@vornadorealty.com.au","Diversified Financials "
31,"Starnes","Mr","Alfonso","Public Storage","Director","Mt Lawley","WA",6050,"(07) 9386 9147","abirch@publicstorage.com.au","Diversified Financials "
32,"Everline","Mr","Porfirio","Charter Commun","Senior Software Analyst","Broadway","NSW",2007,"(07) 4532 9098","pwei@chartercommun.com.au","Media "
33,"Anning","Mr","Justin","Kimberly-Clark","Senior Systems Analyst","Melbourne","VIC",3000,"(03) 3625 6959","jkeighery@kimberly-clark.com.au","Household & Personal Products "
34,"Bigus","Mr","Kendrick","Visa","Business Analyst","Lisarow","NSW",2252,"(02) 8804 1701","kmccarthy@visa.com.au","Diversified Financials "
35,"Wetsel","Mr","Bob","Kimberly-Clark","Senior Sap Business Analyst","Melbourne","VIC",3000,"(04) 1371 7045","bwong@kimberly-clark.com.au","Household & Personal Products "
36,"Ely","Mr","Earle","BAE Systems","Business Analyst","Joondalup","WA",6027,"(04) 5669 9474","ebedekar@baesystems.com.au","Aerospace & Defense "
37,"Rush","Mr","Jeffry","CVS Caremark","Senior Business Analyst","Sydney","NSW",2007,"(03) 7208 4018","jbingham@cvscaremark.com.au","Retailing "
38,"Deridder","Mr","Justin","Ecolab","Technology Development Manager","Broadbeach","QLD",4218,"(08) 4799 4310","jmarr@ecolab.com.au","Chemicals "
39,"Pluemer","Mr","Renaldo","Ecolab","Database Administrator","Broadbeach","QLD",4218,"(04) 6997 6897","rhunt@ecolab.com.au","Chemicals "
40,"Nicolson","Mr","Whitney","EI du Pont de Nemours","Systems Accountant","Wollongong","NSW",2522,"(08) 9709 3899","wbryant@eidupontdenemours.com.au","Chemicals "
41,"Hodgins","Mr","Justin","Peabody Energy","IS Business Development Manager","Wetherill Park","NSW",2164,"(05) 7993 3286","jgularte@peabodyenergy.com.au","Materials "
42,"Gutowski","Mr","Dane","MF Global","Financial Accountant","Penrith","NSW",2750,"(05) 6642 6707","dgiorgi@mfglobal.com.au","Diversified Financials "
43,"Friesen","Mr","Roman","American Electric",,"Adelaide","SA",5001,"(04) 9720 9221","rblythman@americanelectric.com.au","Utilities "
44,"Freiheit","Mr","Angel","Kingfisher",,"Canberra","ACT",2600,"(01) 2012 8025","amcdonald@kingfisher.com.au","Retailing "
45,"Pithan","Mr","Miles","Kingfisher",,"Canberra","ACT",2600,"(02) 6092 8286","mroberts@kingfisher.com.au","Retailing "
46,"Jamar","Mr","Wes","SLM","Manager - Applications","Kwinana","WA",6966,"(07) 1219 3955","wsriskandadas@slm.com.au","Diversified Financials "
47,"Matheney","Mr","John","Iron Mountain","Finance Manager","Adelaide","SA",5044,"(06) 4061 1164","jhedley@ironmountain.com.au","Business Services & Supplies "
48,"Mccormik","Mr","Justin","PG&E","Senior Analyst Programmer","Brisbane","QLD",4000,"(01) 3454 4852","jmetcher@pge.com.au","Utilities "
49,"Bigus","Mr","Steven","McGraw-Hill Cos","Business Information Manager","Wollongong","NSW",2500,"(04) 6934 1849","smccarthy@mcgraw-hillcos.com.au","Media "
50,"Lobur","Mr","Angel","EMC","Business Analysis And Optimisation","Sydney","NSW",2000,"(01) 6799 1559","ao'reilly@emc.com.au","Technology Hardware & Equipment"
51,"Warmath","Mr","Hugh","Biogen Idec",,"Nhulunbuy","NT",881,"(04) 3253 8441","hcastelli@biogenidec.com.au","Drugs & Biotechnology "
52,"Glotzbecker","Mr","Glen","Quest Diagnostics","Consultant","Weston","ACT",2611,"(06) 7743 5084","gmurphy@questdiagnostics.com.au","Health Care Equipment & Services"
53,"Pfalzgraf","Mr","Alfonso","Starbucks","I.T. Manager","Bankstown","NSW",2200,"(03) 2442 4804","awhite@starbucks.com.au","Hotels, Restaurants & Leisure "
54,"Fratzke","Mr","Paris","Amgen","Business Analyst","Brisbane","QLD",4001,"(02) 2989 5706","pbarlow@amgen.com.au","Drugs & Biotechnology "
55,"Ganley","Mr","Abraham","Autonomy","Business Analyst: Data Management","Adelaide","SA",5000,"(08) 4127 1798","awaddicor@autonomy.com.au","Software & Services "
56,"Adelsperger","Mr","Mickey","AT&T","Snr Project Leader, IT","Sydney","NSW",2001,"(07) 2310 1907","mdash@att.com.au","Telecommunications Services "
57,"Argie","Mr","Joaquin","Dollar Tree","Database Administrator","Broadway","NSW",2007,"(01) 8856 4857","jclarke@dollartree.com.au","Retailing "
58,"Fedorczyk","Mr","Roman","HCC Insurance","Company Information Analyst","Sydney","NSW",2000,"(01) 9421 7200","rwright@hccinsurance.com.au","Insurance "
59,"Knapp","Mr","Angel","Johnson & Johnson","Database Administrator","Canberra","ACT",2903,"(05) 4296 4135","astafford@johnsonjohnson.com.au","Drugs & Biotechnology "
60,"Bleininger","Mr","Seymour","Johnson & Johnson",,"Brisbane","QLD",4000,"(05) 4957 9823","so'rourke@johnsonjohnson.com.au","Drugs & Biotechnology "
61,"Randgaard","Mr","Santos","Virgin Media","Business Intelligence Consultant","Perth","WA",6000,"(06) 8407 3077","sking@virginmedia.com.au","Media "
62,"Petrie","Mr","Ian","Helmerich & Payne","Business Analyst","Greenway","ACT",2900,"(04) 5143 9709","iwelikala@helmerichpayne.com.au","Oil & Gas Operations "
63,"Cliffton","Mr","Joaquin","Virgin Media","Senior Business Analyst","Perth","WA",6000,"(08) 7475 2151","jroux@virginmedia.com.au","Media "
64,"Kindberg","Mr","Man","Sage Group","IS Demand Manager","North Ryde","NSW",2113,"(03) 9028 4030","mmallett@sagegroup.com.au","Software & Services "
65,"Vandel","Mr","Jamar","Helmerich & Payne","Business Analyst","Greenway","ACT",2906,"(07) 8607 7046","jsmith@helmerichpayne.com.au","Oil & Gas Operations "
66,"Geraghty","Mr","Joey","Hertz Global Holdings","Business Analyst","West Ryde","NSW",2114,"(08) 6473 8245","jbarve@hertzglobalholdings.com.au","Business Services & Supplies "
67,"Dumont","Mr","Earnest","Hertz Global Holdings","Snr Manager Business Technology","West Ryde","NSW",2114,"(01) 7183 7102","ecatopodis@hertzglobalholdings.com.au","Business Services & Supplies "
68,"Gehris","Mr","Octavio","SLM","Accountant Systems","Kwinana","WA",6966,"(04) 7947 6524","odi carlo@slm.com.au","Diversified Financials "
69,"Vandel","Mr","Javier","Rolls-Royce Group","Change Management","Canberra","ACT",2601,"(01) 3564 9709","jsmith@rolls-roycegroup.com.au","Aerospace & Defense "
70,"Maupins","Mr","Zachary","FirstEnergy","Process & Systems Accountant","Wentworthville","NSW",2145,"(04) 8808 4667","zpocknall@firstenergy.com.au","Utilities "
71,"Lindeen","Mr","Joaquin","Huntington Bancshs","Consultant","West Perth","WA",6005,"(04) 5613 3075","jieraci@huntingtonbancshs.com.au","Banking "
72,"Sivak","Mr","Hector","FirstEnergy","Operational Reporting Manager","Wentworthville","NSW",2145,"(06) 9748 7107","hthrush@firstenergy.com.au","Utilities "
73,"Yue","Mr","Santiago","Freddie Mac","MIS Project Manger","Sydney","NSW",2000,"(06) 8967 4583","sbarker@freddiemac.com.au","Diversified Financials "
74,"Purkerson","Mr","Kirk","Freddie Mac","Snr Manager E Finance","Sydney","NSW",2000,"(06) 2991 3611","karena@freddiemac.com.au","Diversified Financials "
75,"Brockie","Mr","Justin","Boston Properties","Manager Business Systems","North Ryde","NSW",2113,"(01) 1611 2219","jconroy@bostonproperties.com.au","Diversified Financials "
76,"Sontag","Mr","Leopoldo","Helmerich & Payne","Cube Developer","Greenway","ACT",2900,"(06) 9807 7581","lhoang@helmerichpayne.com.au","Oil & Gas Operations "
77,"Yerbich","Mr","Zachary","Challenger Financial Svcs","Project Manager","Sydney","NSW",2000,"(05) 9910 4764","zhowe@challengerfinancialsvcs.com.au","Diversified Financials "
78,"Eckrote","Mr","Hugh","Cephalon","Snr Analyst","Sydney","NSW",2000,"(02) 4872 2712","hborsak@cephalon.com.au","Drugs & Biotechnology "
79,"Mckevitt","Mr","Alfonso","Associated Banc-Corp","Cto","Melbourne","VIC",3006,"(07) 5923 5165","ahoney@associatedbanc-corp.com.au","Banking "
80,"Ritch","Mr","Roman","Associated Banc-Corp","CEO","Southbank","VIC",3006,"(07) 9998 3974","rpower@associatedbanc-corp.com.au","Banking "
81,"Roemer","Mr","Santiago","Health Net","Director - Information & Data Analysis","Brisbane","QLD",4001,"(02) 5008 8476","ssimpson@healthnet.com.au","Health Care Equipment & Services"
82,"Campau","Mr","Dante","Merck & Co","Manager Planning And Financial Analysis","Sydney","NSW",2000,"(04) 1984 8224","dvipond@merckco.com.au","Drugs & Biotechnology "
83,"Killibrew","Mr","Drew","Inchcape","Development Application Manager","Sydney","NSW",1215,"(01) 7559 7191","dgrahn@inchcape.com.au","Retailing "
84,"Ritch","Mr","Basil","Merck & Co","Technical Support Analyst","Sydney","NSW",2000,"(04) 5284 9072","bpower@merckco.com.au","Drugs & Biotechnology "
85,"Minock","Mr","Graig","Merck & Co","Database Administrator","Sydney","NSW",2000,"(07) 5929 9572","gpitiyaratchi@merckco.com.au","Drugs & Biotechnology "
86,"Hey","Mr","Claudio","Fluor","Senior Planning Analyst","St Leonards","NSW",2065,"(08) 3621 9380","cpappas@fluor.com.au","Construction "
87,"Opdyke","Mr","Angel","AstraZeneca","Information Systems Manager","Rosebery","NSW",2018,"(05) 8447 9290","agrosser@astrazeneca.com.au","Drugs & Biotechnology "
88,"Magrann","Mr","Tony","Amphenol","Cognos Administrator","Wentworthville","NSW",2145,"(01) 1487 4163","tmcallister@amphenol.com.au","Technology Hardware & Equipment"
89,"Nicarry","Mr","Byron","WW Grainger","Manager - Accounting Operations","Dandenong South","VIC",3175,"(02) 8829 8975","blim@wwgrainger.com.au","Capital Goods "
90,"Mcmath","Mr","Santos","Macy's","Technical Services Manager","Surry Hills","NSW",2010,"(06) 6991 8974","skearns@macy's.com.au","Retailing "
91,"Moede","Mr","Raul","St Jude Medical","Business Information Manager","Wollongong","NSW",2500,"(08) 8710 3982","rswain@stjudemedical.com.au","Health Care Equipment & Services"
92,"Hyatt","Mr","Roman","Pride International","Strategic Reports Manager","Central","NSW",2001,"(07) 3505 4856","rkennett@prideinternational.com.au","Oil & Gas Operations "
93,"Heinrich","Mr","Linwood","Health Net",,"Brisbane","QLD",4001,"(05) 4295 2415","lkalantari@healthnet.com.au","Health Care Equipment & Services"
94,"Tolen","Mr","Brice","Vulcan Materials","Technical Director","Glen Iris","VIC",3146,"(03) 8558 6589","btheofanis@vulcanmaterials.com.au","Construction "
95,"Bowels","Mr","Chet","Vornado Realty","Team Manger (Infrastructure)","Sydney","NSW",2000,"(02) 6433 2519","csoma-sundaram@vornadorealty.com.au","Diversified Financials "
96,"Zarn","Mr","Alfonso","WPP","Data Warehouse Manager","Sydney","NSW",2001,"(02) 5416 5029","azyznik@wpp.com.au","Media "
97,"Diersen","Mr","Samuel","Raytheon","Principal Consultant","Brisbane","QLD",4000,"(01) 1981 3477","shoareau@raytheon.com.au","Aerospace & Defense "
98,"Beil","Mr","Zachary","Sara Lee","Technical Director","Sydney","NSW",2000,"(08) 2199 3853","zertle@saralee.com.au","Food, Drink & Tobacco "
99,"Hutyra","Mr","Francis","Raytheon","BI Consultant","Brisbane","QLD",4000,"(03) 4018 2682","fmcdermaid@raytheon.com.au","Aerospace & Defense "
100,"Colburn","Mr","Angel","Vulcan Materials","Senior Technical Consultant","Glen Iris","VIC",3146,"(02) 9892 8563","awatson@vulcanmaterials.com.au","Construction "
101,"Madigan","Mr","Zachary","Metcash","Applications Administration Team Leader","Prospect","NSW",2148,"(01) 9741 7274","zlovell@metcash.com.au","Food Markets "
102,"Acocella","Mr","Angel","SunTrust Banks","Deputy Director (DMIS)","Phillip","ACT",2606,"(04) 8065 9668","apearson@suntrustbanks.com.au","Banking "
103,"Crosbie","Mr","Whitney","First Citizens Bcshs","Account Manager - Business Intelligence Solutions","Milton","QLD",4064,"(07) 4615 3964","wfawcett@firstcitizensbcshs.com.au","Banking "
104,"Pepez","Mr","Eldridge","First Citizens Bcshs","Business Manager - Cognos","Milton","QLD",4064,"(08) 7245 2523","econde@firstcitizensbcshs.com.au","Banking "
105,"Himel","Mr","Burl","Vornado Realty",,"Sydney","NSW",2000,"(05) 8948 7845","bwalsh@vornadorealty.com.au","Diversified Financials "
106,"Escarsega","Mr","Zachary","Vornado Realty",,"Sydney","NSW",2000,"(07) 1335 3262","zmalss@vornadorealty.com.au","Diversified Financials "
107,"Posto","Mr","Tyron","Lorillard","Country Manager","Sydney","NSW",2000,"(02) 1991 4132","tbatra@lorillard.com.au","Food, Drink & Tobacco "
108,"Francis","Mr","Hugh","Community Health Sys",,"Sydney","NSW",2000,"(04) 1938 5221","hcoia@communityhealthsys.com.au","Health Care Equipment & Services"
109,"Cimini","Mr","Alfonso","Community Health Sys",,"Sydney","NSW",2000,"(07) 4937 8129","abacigalupo@communityhealthsys.com.au","Health Care Equipment & Services"
110,"Pinkton","Mr","Tony","HJ Heinz",,"Rydalmere","NSW",2116,"(08) 6911 8022","thorne@hjheinz.com.au","Food, Drink & Tobacco "
111,"Couse","Mr","Casey","Scripps Networks","Account Manager","Lane Cove","NSW",2066,"(07) 7860 7763","creich@scrippsnetworks.com.au","Media "
112,"Imam","Mr","Darrell","Scripps Networks","Consultant","Lane Cove","NSW",2066,"(04) 2791 5829","djackson@scrippsnetworks.com.au","Media "
113,"Suthoff","Mr","Jarred","Scripps Networks",,"Lane Cove","NSW",2066,"(04) 1468 9333","jdumont@scrippsnetworks.com.au","Media "
114,"Lawhorne","Mr","Santos","Scripps Networks",,"Lane Cove","NSW",2066,"(07) 1449 6579","shodge@scrippsnetworks.com.au","Media "
115,"Rhodarmer","Mr","Jay","Scripps Networks",,"Lane Cove","NSW",2066,"(08) 6909 5528","jstire@scrippsnetworks.com.au","Media "
116,"Sistrunk","Mr","Angel","PPL","Chief Information Officer","Baulkham Hills","NSW",2153,"(06) 4889 5752","atobias@ppl.com.au","Utilities "
117,"Koehne","Mr","Angel","Imperial Tobacco Group",,"Sydney","NSW",2001,"(08) 6787 6632","ahamilton@imperialtobaccogroup.com.au","Food, Drink & Tobacco "
118,"Sharma","Mr","Justin","EI du Pont de Nemours","Manager, Financial Information Systems Unit","Wollongong","NSW",2522,"(03) 2162 7460","jmcgraw@eidupontdenemours.com.au","Chemicals "
119,"Apelian","Mr","Joaquin","MeadWestvaco","Development Manager","Adelaide","SA",5000,"(06) 9169 2397","jdawkins@meadwestvaco.com.au","Materials "
120,"Munderville","Mr","Lindsay","MeadWestvaco","ReportNet Developer","Adelaide","SA",5000,"(05) 8858 8197","levans@meadwestvaco.com.au","Materials "
121,"Jandron","Mr","Johnathan","Altria Group",,"Melbourne","VIC",3000,"(03) 7110 6058","jedmonds@altriagroup.com.au","Food, Drink & Tobacco "
122,"Marasciulo","Mr","Palmer","Rexam","IT Project Manager","Wetherill Park","NSW",2164,"(01) 2637 7738","plee@rexam.com.au","Materials "
123,"Kolacki","Mr","Rayford","Rexam","Financial Controller","Wetherill Park","NSW",2164,"(05) 6722 8096","ro'chee@rexam.com.au","Materials "
124,"Mascarena","Mr","Justin","Ameren","Accountant","Spring Hill","QLD",4004,"(05) 4771 8435","jflynn@ameren.com.au","Utilities "
125,"Hirai","Mr","Hipolito","Polo Ralph Lauren","IAIMS Business Analyst","Huntingwood","NSW",2148,"(02) 4232 5345","hmcarthur@poloralphlauren.com.au","Household & Personal Products "
126,"Gabossi","Mr","Kyle","Amlin","MIS System Administrator","Brisbane","QLD",4001,"(05) 1539 9123","kradisavlyevic@amlin.com.au","Insurance "
127,"Racano","Mr","Chester","Amlin","MIS Analyst","Brisbane","QLD",4001,"(02) 9887 5910","cmoon-watton@amlin.com.au","Insurance "
128,"Bonsal","Mr","Earnest","Vulcan Materials","Director","Glen Iris","VIC",3146,"(07) 3478 6962","ecopley@vulcanmaterials.com.au","Construction "
129,"Canham","Mr","Zachary","Northrop Grumman","Activity Based Costing Specialist","Brisbane","QLD",4000,"(04) 1180 6131","zwilson@northropgrumman.com.au","Aerospace & Defense "
130,"Kin","Mr","Zachary","NStar",,"Southbank","VIC",3006,"(06) 5900 4989","zhsu@nstar.com.au","Utilities "
131,"Shers","Mr","Isaias","Sara Lee",,"Sydney","NSW",2000,"(04) 8643 2100","iharvey@saralee.com.au","Food, Drink & Tobacco "
132,"Salwasser","Mr","Domingo","First American","Business Intelligence Analyst","Melbourne","VIC",3004,"(08) 9148 3627","dpopovski@firstamerican.com.au","Insurance "
133,"Mackesy","Mr","Delbert","Macy's","Business Services Manager","Surry Hills","NSW",2010,"(06) 5483 9239","dgazis@macy's.com.au","Retailing "
134,"Pierce","Mr","Jordon","Assoc British Foods","CPM Consultant","Hobart","TAS",7001,"(05) 1151 4010","jjager@assocbritishfoods.com.au","Food, Drink & Tobacco "
135,"Fregia","Mr","Dante","Anadarko Petroleum","Manager Information Technology","Wynnum","QLD",4178,"(03) 2288 7131","dmarles@anadarkopetroleum.com.au","Oil & Gas Operations "
136,"Cutcher","Mr","Alphonse","PG&E","Mgr Financial Planning","Garbutt","QLD",4814,"(07) 7841 7560","apool@pge.com.au","Utilities "
137,"Ausdemore","Mr","Jamar","Antofagasta","Team Leader, MIRU","Hobart","TAS",7001,"(06) 9147 7447","jklerck@antofagasta.com.au","Materials "
138,"Montone","Mr","Merlin","First Citizens Bcshs","Consultant - Business Intelligence Solutions","Milton","QLD",4064,"(03) 7086 9815","mlutwyche@firstcitizensbcshs.com.au","Banking "
139,"Pfahl","Mr","Cletus","Telephone & Data Sys","Planning & Logistics Co-Ordinator","Croydon South","VIC",3136,"(08) 2485 9884","cpotter@telephonedatasys.com.au","Telecommunications Services "
140,"Samanlego","Mr","Zachary","Oracle","Service Delivery Manager","Melbourne","VIC",3004,"(04) 8060 5785","zpresland@oracle.com.au","Software & Services "
141,"Kraus","Mr","Arthur","Oracle","National Sales Manager","Chatswood","NSW",2067,"(08) 2943 4428","abaldie@oracle.com.au","Software & Services "
142,"Nieman","Mr","Brendon","Oracle","Manager - ACT Region","Canberra","ACT",2601,"(01) 2774 3577","bfrancia@oracle.com.au","Software & Services "
143,"Modero","Mr","Randy","Oracle","Regional Manager, NZ","Auckland",,,"(03) 9233 7949","rkingston@oracle.com.au","Software & Services "
144,"Chetelat","Mr","Kerry","Oracle","Practice Manager - BI/EP Solutions","Melbourne","VIC",3004,"(02) 4898 7990","kosianlis@oracle.com.au","Software & Services "
145,"Ritch","Mr","Darrell","Kohl's","Enterprise Planning Consultant","Elanora","QLD",4221,"(05) 7888 9167","dpower@kohl's.com.au","Retailing "
146,"Outhier","Mr","Johnson","Oracle","Consulting Manager","Melbourne","VIC",3004,"(02) 6222 7008","jdavey@oracle.com.au","Software & Services "
147,"Heil","Mr","Elvis","Oracle","National Sales","Chatswood","NSW",2067,"(08) 3681 6156","ecowan@oracle.com.au","Software & Services "
148,"Salek","Mr","Hugh","Oracle","C E O","Melbourne","VIC",3004,"(06) 5939 3242","hmackley@oracle.com.au","Software & Services "
149,"Sowders","Mr","Cletus","MFA Financial",,"Liverpool","NSW",2170,"(06) 5159 4617","cgarnett@mfafinancial.com.au","Diversified Financials "
150,"Daner","Mr","Jules","Polo Ralph Lauren","Engineer","Blacktown","NSW",2148,"(06) 9400 2677","jward@poloralphlauren.com.au","Household & Personal Products "
151,"Malehorn","Mr","Hipolito","Community Health Sys","Project Manager - Performance Measurement Systems","Sydney","NSW",2000,"(02) 8631 4510","hturner@communityhealthsys.com.au","Health Care Equipment & Services"
152,"Storr","Mr","Alfonso","Emerson Electric","A/GM Finance","Chippendale","NSW",2004,"(05) 8851 6174","adowny@emersonelectric.com.au","Conglomerates "
153,"Noorda","Mr","Justin","Whole Foods Market","Manager Of Applications And Achitecture","Port Melbourne","VIC",3207,"(07) 2699 5407","jmctaggart@wholefoodsmarket.com.au","Food Markets "
154,"Poppema","Mr","Al","Harris",,"Kingston","ACT",2604,"(05) 4675 9195","aryan@harris.com.au","Technology Hardware & Equipment"
155,"Manliguis","Mr","Roman","Johnson Matthey","Director","Sydney","NSW",2001,"(03) 9550 7083","rbragg@johnsonmatthey.com.au","Materials "
156,"Philippon","Mr","Moshe","Mirant","Senior Analyst Programmer","Chatswood","NSW",2067,"(03) 2668 3306","mlam@mirant.com.au","Utilities "
157,"Vandel","Mr","Edgardo","Boston Scientific","Analyst Programmer","Cairns","QLD",4870,"(08) 2235 5876","esmith@bostonscientific.com.au","Health Care Equipment & Services"
158,"Bazzell","Mr","Nathanael","Vulcan Materials","Business Development Manager","Unley","SA",5061,"(04) 8138 1815","nhaylock@vulcanmaterials.com.au","Construction "
159,"Arrez","Mr","Dante","CenterPoint Energy",,"Barton","ACT",2600,"(06) 4968 5864","dmarks@centerpointenergy.com.au","Utilities "
160,"Argie","Mr","Grant","Jefferies Group","Manager, Corporate Planning","Sydney","NSW",2000,"(01) 1682 5264","gclarke@jefferiesgroup.com.au","Diversified Financials "
161,"Lavene","Mr","Jess","Calpine","Business Analys","North Ryde","NSW",2113,"(03) 3070 3896","jgesang@calpine.com.au","Utilities "
162,"Munderville","Mr","Santos","Masco","Managing Director","Brisbane","QLD",4000,"(06) 7776 2747","sevans@masco.com.au","Construction "
163,"Malehorn","Mr","Deangelo","MGM Mirage","Sales Director","Melbourne","VIC",3000,"(03) 6060 4336","dturner@mgmmirage.com.au","Hotels, Restaurants & Leisure "
164,"Stronach","Mr","Joaquin","MGM Mirage","Professional Services Director","Melbourne","VIC",3000,"(06) 2293 7900","jschmidt@mgmmirage.com.au","Hotels, Restaurants & Leisure "
165,"Vierra","Mr","Santiago","IntercontinentalExchange","Business Intelligence Manager","Richmond","VIC",3121,"(06) 5406 7450","srichmond@intercontinentalexchange.com.au","Diversified Financials "
166,"Bracken","Mr","Bryant","Progressive","Project Controller","Moonah","TAS",7009,"(03) 7686 9007","bwheeler@progressive.com.au","Insurance "
167,"Grimlie","Mr","Darell","East West Bancorp","IS Manager","Lidcombe","NSW",2141,"(05) 6974 1242","dsiu@eastwestbancorp.com.au","Banking "
168,"Garity","Mr","Hector","Rolls-Royce Group","OLAP & Datawarehouse Manager","Parramatta","NSW",2150,"(01) 2419 8270","hmitchell@rolls-roycegroup.com.au","Aerospace & Defense "
169,"Pavey","Mr","Cyrus","Rolls-Royce Group","OLAP & Datawarehouse Manager","Melbourne","VIC",3000,"(02) 8885 3238","cfan@rolls-roycegroup.com.au","Aerospace & Defense "
170,"Sharrer","Mr","Hipolito","Rolls-Royce Group","Business Analyst","Parramatta","NSW",2150,"(06) 9968 3809","hherring@rolls-roycegroup.com.au","Aerospace & Defense "
171,"Boyne","Mr","Jamison","Rolls-Royce Group","Business Analyst","Parramatta","NSW",2150,"(02) 3729 5769","jtang@rolls-roycegroup.com.au","Aerospace & Defense "
172,"Rhoton","Mr","Brain","US Steel","Manager","North Sydney","NSW",2060,"(04) 9779 3546","bnaidoo@ussteel.com.au","Materials "
