"TITLE","FIRSTNAME","LASTNAME","POSITION","COMPANY","CITY","STATE","ZIP","PHONE","EMAIL"
"Mr","Dominique","Nightlinger","EFT Services - iCom Support","Stanley Black & Decker","Melbourne","VIC",3002,"(08) 4908 3426","dnightlinger@nationalaustraliabank.com.au"
"Mr","Fermin","Okoniewski","Finance Manager - MIS","Telstra","Melbourne","Vic",3000,"(07) 4952 6800","fokoniewski@sensisptyltd.com.au"
"Mr","Dwain","Ostrosky","Business System Analyst","Citigroup","South Melbourne","VIC",3205,"(03) 6376 8641","dostrosky@westaffaustralia.com.au"
"Mr","Burl","Phillipson","Financial Controller","Balfour Beatty","Hawthorn","VIC",3122,"(08) 3233 2442","bphillipson@advancepetroleumptyltd.com.au"
"Mr","Zachary","Poths","Team Leader/Custom Solutions","Bank of New York Mellon","Melbourne","VIC",3000,"(01) 3168 8885","zpoths@mercurycomputersystems.com.au"
"Mr","Von","Quiett","Consultant","Juniper Networks","Kew","VIC",3125,"(04) 9159 4548","vquiett@jobpacinternationalsystemsptyltd.com.au"
"Mr","Alfonso","Ritch","Project Director","Health Care REIT","Melbourne","VIC",3000,"(06) 3838 8205","aritch@johnfairfaxlimited.com.au"
"Mr","Eldridge","Rubick","Financial Controller","Citigroup","South Melbourne","VIC",3205,"(04) 7469 1214","erubick@westaffaustralia.com.au"
"Mr","Len","Rubinstein","Project Manager","Mead Johnson Nutrition","Melbourne","VIC",3004,"(06) 8840 4332","lrubinstein@anl.com.au"
"Mr","Hugh","Salek","Chief Executive Officer","Morgan Stanley","Melbourne","VIC",3004,"(05) 5932 9359","hsalek@qsp-asiapacificptyltd.com.au"
"Mr","Edmundo","Shults","IT Manager","Citigroup","South Melbourne","VIC",3205,"(08) 5247 4267","eshults@westaffaustralia.com.au"
"Ms","Taneka","Smead","Administration Co-Ordinator","T Rowe Price","Prahran","VIC",3181,"(02) 3253 8109","tsmead@alfredhealthcaregroup.com.au"
"Mr","William","Sondag","Management Accountant","Caterpillar","Hallam","VIC",3803,"(07) 5862 4485","wsondag@energypowersystemsptyltd.com.au"
"Mr","Darrell","Standard","Business Analyst","Omnicom Group","Boronia","VIC",3155,"(06) 5420 6608","dstandard@glaxosmithklineaustraliaptyltd.com.au"
"Ms","Andrew","Steinbrook","Lecturer","Continental Airlines","Melbourne","VIC",3122,"(07) 5777 8665","asteinbrook@swinburneuniversityoftechnology.com.au"
"Mr","Justin","Taddeo","IM Service Manager","FPL Group","Melbourne","VIC",3000,"(06) 9595 7825","jtaddeo@oaktonlimited.com.au"
"Mr","Darrell","Truglia","Information Systems Manager","Balfour Beatty","Bendigo","VIC",3550,"(01) 6995 1663","dtruglia@advancepetroleumptyltd.com.au"
"Ms","Vinnie","Tur","Team Leader - Enterprise Information","Cerner","Southbank","VIC",3006,"(08) 2488 8021","vtur@crowncasinoltd.com.au"
"Mr","Justin","Vorse","Project Services Manager","Goldman Sachs Group","Clayton North","VIC",3169,"(08) 8772 6862","jvorse@johnsands(australia)ltd.com.au"
"Mr","Alphonse","Wernert","Enterprise Architect","Interpublic Group","Melbourne","VIC",3000,"(03) 4488 2795","awernert@ioofinvestmentmanagementltd.com.au"
